stock,year,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Arca noae,1952,1.40204850470048,1.86105058626235e-05,1.40204850470048,1.86105058626235e-05
Arca noae,1953,0.0491733849556102,0.000530629159248751,0.0491733849556102,0.000530629159248751
Arca noae,1954,0.0137525434290609,0.001897309545031,0.0137525434290609,0.001897309545031
Arca noae,1955,0.00824240497112696,0.00316568186200672,0.00824240497112696,0.00316568186200672
Arca noae,1956,0.00578713978893364,0.00450876129971946,0.00578713978893364,0.00450876129971946
Arca noae,1957,0.00546219585390126,0.00477698577903873,0.00546219585390126,0.00477698577903873
Arca noae,1958,0.00565468622295779,0.00461437308589729,0.00565468622295779,0.00461437308589729
Arca noae,1959,0.00589247863016561,0.00442815893855474,0.00589247863016561,0.00442815893855474
Arca noae,1960,0.00600800661213746,0.00434300985350075,0.00600800661213746,0.00434300985350075
Arca noae,1961,0.0050385871844563,0.00517860085797568,0.0050385871844563,0.00517860085797568
Arca noae,1962,0.0057751277070848,0.00451813937974056,0.0057751277070848,0.00451813937974056
Arca noae,1963,0.00598011329042905,0.00436326715719102,0.00598011329042905,0.00436326715719102
Arca noae,1964,0.00645266618126539,0.00404372877558246,0.00645266618126539,0.00404372877558246
Arca noae,1965,0.0060542268003187,0.00430985372319337,0.0060542268003187,0.00430985372319337
Arca noae,1966,0.00453991317979332,0.0057474297157371,0.00453991317979332,0.0057474297157371
Arca noae,1967,0.00454874871513477,0.00573626585034112,0.00454874871513477,0.00573626585034112
Arca noae,1968,0.00485684290334963,0.00537238540254517,0.00485684290334963,0.00537238540254517
Arca noae,1969,0.00461223551033867,0.00565730693021239,0.00461223551033867,0.00565730693021239
Arca noae,1970,0.00509397959356313,0.00512228826934881,0.00509397959356313,0.00512228826934881
Arca noae,1971,0.00507215066770277,0.00514433297152593,0.00507215066770277,0.00514433297152593
Arca noae,1972,0.00598454674595583,0.004360034773568,0.00598454674595583,0.004360034773568
Arca noae,1973,0.00586658176325899,0.0044477061719013,0.00586658176325899,0.0044477061719013
Arca noae,1974,0.00527159375553554,0.00494970461049115,0.00527159375553554,0.00494970461049115
Arca noae,1975,0.0045196244481386,0.00577323010259336,0.0045196244481386,0.00577323010259336
Arca noae,1976,0.00540750493578183,0.00482529969482831,0.00540750493578183,0.00482529969482831
Arca noae,1977,0.00529946015206695,0.00492367734970772,0.00529946015206695,0.00492367734970772
Arca noae,1978,0.0046460545291856,0.00561612692070242,0.0046460545291856,0.00561612692070242
Arca noae,1979,0.0049537319837034,0.0052673079614016,0.0049537319837034,0.0052673079614016
Arca noae,1980,0.00415486539205084,0.00628006673003941,0.00415486539205084,0.00628006673003941
Arca noae,1981,0.00388719597682936,0.00671250744031013,0.00388719597682936,0.00671250744031013
Arca noae,1982,0.00399406008406159,0.00653290921199078,0.00399406008406159,0.00653290921199078
Arca noae,1983,0.00313544613420855,0.00832188811401698,0.00313544613420855,0.00832188811401698
Arca noae,1984,0.00246291618362255,0.010594283349924,0.00246291618362255,0.010594283349924
Arca noae,1985,0.00299467304569003,0.00871308203543749,0.00299467304569003,0.00871308203543749
Arca noae,1986,0.00249944087115528,0.0104394675695409,0.00249944087115528,0.0104394675695409
Arca noae,1987,0.0026368345811639,0.00989551339428096,0.0026368345811639,0.00989551339428096
Arca noae,1988,0.00220250455122439,0.0118468912592737,0.00220250455122439,0.0118468912592737
Arca noae,1989,0.00245819239195965,0.010614641881472,0.00245819239195965,0.010614641881472
Arca noae,1990,0.00223000330393727,0.0117008041514295,0.00223000330393727,0.0117008041514295
Arca noae,1991,0.00226309188947545,0.011529727112609,0.00226309188947545,0.011529727112609
Arca noae,1992,0.00240060040249982,0.010869294152096,0.00240060040249982,0.010869294152096
Arca noae,1993,0.00242846187034641,0.0107445919719912,0.00242846187034641,0.0107445919719912
Arca noae,1994,0.00244373418111359,0.0106774427914743,0.00244373418111359,0.0106774427914743
Arca noae,1995,0.0021101245962055,0.0123655408611092,0.0021101245962055,0.0123655408611092
Arca noae,1996,0.00217903795535374,0.0119744733460482,0.00217903795535374,0.0119744733460482
Arca noae,1997,0.00224083211445865,0.0116442600710916,0.00224083211445865,0.0116442600710916
Arca noae,1998,0.00198342372384198,0.0131554501455027,0.00198342372384198,0.0131554501455027
Arca noae,1999,0.00221964220883163,0.011755422478718,0.00221964220883163,0.011755422478718
Arca noae,2000,0.00228543775380614,0.0114169952224496,0.00228543775380614,0.0114169952224496
Arca noae,2001,0.00203846073798061,0.0128002621930601,0.00203846073798061,0.0128002621930601
Arca noae,2002,0.00242246735976506,0.0107711799753377,0.00242246735976506,0.0107711799753377
Arca noae,2003,0.00224676260998053,0.011613524188315,0.00224676260998053,0.011613524188315
Arca noae,2004,0.00250067245598955,0.0104343261165267,0.00250067245598955,0.0104343261165267
Arca noae,2005,0.00258366744486238,0.0100991449067086,0.00258366744486238,0.0100991449067086
Arca noae,2006,0.00247928917461524,0.0105243197056511,0.00247928917461524,0.0105243197056511
Arca noae,2007,0.00240852559735917,0.0108335290042257,0.00240852559735917,0.0108335290042257
Arca noae,2008,0.00328441267382616,0.00794444380401624,0.00328441267382616,0.00794444380401624
Arca noae,2009,0.00605883579138682,0.00430657519279594,0.00605883579138682,0.00430657519279594
Arca noae,2010,0.0257814945221115,0.00101207600257744,0.0257814945221115,0.00101207600257744
Arca noae,2011,1.0917322766529,0.310705126309263,1.0917322766529,0.310705126309263
Arca noae,2012,2.38189060728102,0.142410744589379,2.38189060728102,0.142410744589379
