Year,Arca noae,Bivalvia,Callista chione,Cardiidae,Cerastoderma edule,Donax spp,Mya arenaria,Ruditapes decussatus,Solenidae,Tellina spp,Veneridae,Venerupis pullastra,Venus verrucosa,Total
1950,0,0,0,0,0,0,0,2100,0,0,0,0,0,2100
1951,0,0,0,0,0,0,0,1100,0,0,0,0,0,1100
1952,0,0,0,0,0,0,0,1400,0,0,0,0,0,1400
1953,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000
1954,0,0,0,0,0,0,0,1500,0,0,0,0,0,1500
1955,0,0,0,0,0,0,0,900,0,0,0,0,0,900
1956,0,0,0,0,0,0,0,400,0,0,0,0,0,400
1957,0,0,0,0,0,0,0,600,0,0,0,0,0,600
1958,0,0,0,0,0,0,0,500,0,0,0,0,0,500
1959,0,0,0,0,0,0,0,400,0,0,0,0,0,400
1960,0,0,0,0,0,0,0,200,0,0,0,0,0,200
1961,0,0,0,0,0,0,0,500,0,0,0,0,0,500
1962,0,0,0,0,0,0,0,200,0,0,0,0,0,200
1963,0,0,0,0,0,0,0,200,0,0,0,0,0,200
1964,0,0,0,0,0,0,0,500,0,0,0,0,0,500
1965,0,0,0,0,0,0,0,600,0,0,0,0,0,600
1966,0,0,0,0,100,0,0,900,0,0,0,0,0,1000
1967,0,0,0,0,600,0,0,800,0,0,0,0,0,1400
1968,0,0,0,0,2400,0,0,0,0,0,0,900,0,3300
1969,0,0,0,0,1700,0,0,100,0,0,0,500,0,2300
1970,0,0,0,0,900,0,0,0,0,0,0,721,0,1621
1971,0,0,0,0,900,0,0,0,0,0,0,565,0,1465
1972,0,0,0,0,900,150,0,0,0,0,0,600,0,1650
1973,0,0,0,0,800,415,0,100,0,0,0,1000,0,2315
1974,0,0,0,0,2500,295,0,200,0,0,282,800,0,4077
1975,0,0,0,0,998,197,0,228,1,0,90,893,0,2407
1976,0,0,0,0,1631,0,0,190,4,0,59,600,0,2484
1977,0,0,0,0,510,100,0,96,0,0,8,1341,0,2055
1978,0,0,0,0,515,52,0,3,0,0,216,1551,0,2337
1979,0,0,0,0,240,120,0,0,0,0,276,705,0,1341
1980,0,0,0,0,338,36,0,7,7,0,256,0,0,644
1981,0,0,0,0,110,84,0,206,6,0,199,0,0,605
1982,0,0,0,0,139,0,0,44,0,0,232,9,0,424
1983,0,0,0,0,159,89,0,74,0,0,268,12,0,602
1984,0,0,0,0,160,78,0,50,0,0,417,8,0,713
1985,0,0,0,0,119,0,0,121,0,0,545,159,0,944
1986,0,0,0,0,0,0,0,640,1,0,643,0,0,1284
1987,0,2884,0,0,0,245,0,402,10,0,171,0,0,3712
1988,0,1320,0,0,0,0,0,215,4,0,158,0,0,1697
1989,0,1103,0,0,0,0,0,122,0,0,105,0,0,1330
1990,0,1500,0,0,0,0,0,202,0,0,134,0,0,1836
1991,0,2004,0,0,0,0,0,159,0,0,100,0,0,2263
1992,0,2547,0,0,0,0,0,1562,0,0,120,0,0,4229
1993,0,3043,0,0,0,0,0,1733,0,0,130,0,0,4906
1994,0,3532,0,0,0,0,0,1132,0,0,64,0,0,4728
1995,0,4016,0,0,0,0,0,1379,0,0,0,0,0,5395
1996,0,4116,0,0,0,0,0,488,2,0,0,5,0,4611
1997,0,3276,0,0,0,0,0,135,4,0,0,5,0,3420
1998,0,3652,0,0,0,0,0,172,1,0,0,0,0,3825
1999,0,2285,0,0,1,275,0,143,5,0,18,141,0,2868
2000,0,1712,0,0,0,292,0,796,5,0,18,27,0,2850
2001,0,1571,0,0,0,174,0,569,5,0,22,0,0,2341
2002,0,2055,0,0,0,176,0,1026,5,0,12,3,0,3277
2003,0,1532,0,0,0,209,0,519,5,0,13,0,0,2278
2004,0,1358,0,0,0,228,0,531,5,0,12,0,0,2134
2005,0,1691,2956,166,0,568,0,622,471,0,0,0,0,6474
2006,0,1414,2190,72,0,655,0,487,304,0,1266,0,0,6388
2007,0,1465,1853,28,0,391,0,616,182,0,1334,0,0,5869
2008,0,1343,1669,48,0,347,0,538,210,0,1255,0,0,5410
2009,0,867,1955,31,0,359,0,508,364,31,70,0,0,4185
2010,0,1278,1679,32,0,212,0,447,358,30,58,0,0,4094
2011,13,465,1705,23,0,195,0,774,402,44,29,1,27,3678
2012,13,383,1430,14,0,283,1,763,502,40,16,0,31,3476
2013,20,559,1645,8,0,534,11,1091,282,51,84,0,71,4356
2014,17,869,1289,6,0,483,62,1677,306,34,10,0,112,4865
2015,22,896,1348,86,0,392,125,1396,215,21,6,2,123,4632
2016,29,1384,1419,62,2,624,584,1554,273,6,7,0,128,6072
2017,30,708,1177,4,5,723,819,743,77,5,2,0,107,4400
2018,24,685,1631,19,0,562,601,288,16,5,4,0,120,3955
